age,workclass,education,marital_status,occupation,race,gender,hours_per_week,income
34,Private,Bachelors,Married,White-Collar,White,Female,40,1
34,Private,Some-college,Married,Professional,White,Female,40,1
34,Private,Doctorate,Married,White-Collar,White,Female,40,1
31.0,Private,Some-college,Married,Professional,White,Female,40,1
34,Private,Some-college,Married,Professional,White,Female,63.0,1
34,Private,Masters,Single,Sales,White,Male,40,1
34,Private,Prof-school,Single,White-Collar,White,Male,40,1
34,Private,Bachelors,Married,White-Collar,Other,Female,40,1
34,Private,Masters,Married,White-Collar,Other,Female,40,1
34,Private,Prof-school,Married,White-Collar,Other,Female,40,1
17.0,Private,Masters,Married,White-Collar,White,Female,40,1
34,Government,Some-college,Married,White-Collar,White,Male,40,1
30.0,Private,Prof-school,Single,White-Collar,White,Male,40,1
34,Private,Doctorate,Single,White-Collar,White,Male,99.0,1
57.0,Private,Doctorate,Widowed,White-Collar,White,Female,40,1
34,Self-Employed,Prof-school,Single,White-Collar,White,Female,40,1
34,Self-Employed,Doctorate,Single,White-Collar,White,Female,42.0,1
34,Private,Assoc,Married,White-Collar,White,Female,40,1
34,Private,Doctorate,Single,Sales,White,Male,40,1
34,Government,Prof-school,Single,White-Collar,White,Female,40,1
34,Self-Employed,Doctorate,Single,White-Collar,White,Female,40,1
34,Private,Doctorate,Single,White-Collar,White,Male,40,1
34,Private,Masters,Separated,White-Collar,White,Male,40,1
34,Private,Doctorate,Separated,White-Collar,White,Male,40,1
34,Private,Prof-school,Single,White-Collar,White,Male,41.0,1
