Estatus,Duration,Chistory,Purpose,Ncredit,Saccount,EmploySince,Insrate,Pstatus,Odebtors,ResidenceSince,Property,Age,Insplans,House,NTBcredit,Job,NMpeople,Telephone,Fworker,credits
A12,20.0,A30,A41,6148.0,A62,A75,3.0,A94,A101,4.0,A123,31.0,A141,A152,2.0,A173,1.0,A192,A201,1
A12,36.0,A34,A41,5800.0,A65,A72,3.0,A93,A101,4.0,A123,34.0,A143,A152,2.0,A174,1.0,A192,A201,1
A14,24.0,A34,A45,5507.0,A61,A75,3.0,A93,A101,4.0,A124,44.0,A143,A153,2.0,A173,1.0,A191,A201,1
A14,15.0,A34,A41,3368.0,A64,A75,3.0,A93,A101,4.0,A124,23.0,A143,A151,2.0,A173,1.0,A192,A201,1
A14,60.0,A34,A40,13756.0,A65,A75,2.0,A93,A101,4.0,A124,63.0,A141,A153,1.0,A174,1.0,A192,A201,1
A12,24.0,A34,A46,5743.0,A61,A72,2.0,A92,A101,4.0,A124,24.0,A143,A153,2.0,A173,1.0,A192,A201,1
A12,24.0,A33,A410,276.0,A65,A73,2.0,A93,A101,4.0,A124,19.0,A143,A152,2.0,A174,1.0,A192,A201,1
A12,48.0,A33,A410,7582.0,A62,A71,2.0,A93,A101,4.0,A124,31.0,A143,A153,1.0,A174,1.0,A192,A201,1
A12,36.0,A34,A41,5800.0,A61,A73,3.0,A93,A101,4.0,A123,34.0,A143,A152,2.0,A173,1.0,A192,A201,1
A14,18.0,A34,A43,6070.0,A61,A75,3.0,A93,A101,4.0,A123,33.0,A143,A152,2.0,A173,1.0,A192,A201,1
A12,48.0,A34,A40,276.0,A62,A74,2.0,A93,A101,4.0,A122,36.0,A143,A153,2.0,A173,1.0,A192,A201,1
A11,4.0,A30,A41,6148.0,A61,A74,3.0,A93,A101,4.0,A122,31.0,A141,A152,2.0,A171,1.0,A192,A201,1
A11,39.0,A32,A40,7308.0,A61,A71,4.0,A93,A101,4.0,A122,30.0,A141,A153,2.0,A174,1.0,A192,A201,1
A11,24.0,A34,A41,6615.0,A61,A71,2.0,A93,A101,4.0,A124,75.0,A143,A153,2.0,A174,1.0,A192,A201,1
A11,12.0,A32,A42,2578.0,A61,A71,3.0,A92,A101,4.0,A124,55.0,A143,A153,1.0,A174,1.0,A191,A201,1
A12,18.0,A34,A42,3612.0,A61,A75,3.0,A92,A101,4.0,A122,37.0,A143,A152,1.0,A173,1.0,A192,A201,1
A14,4.0,A32,A40,3976.0,A61,A75,3.0,A92,A101,4.0,A123,70.0,A141,A152,1.0,A172,1.0,A192,A201,1
A12,4.0,A32,A48,6419.0,A61,A73,2.0,A92,A101,4.0,A123,35.0,A143,A152,2.0,A174,1.0,A192,A201,1
A12,10.0,A32,A40,7308.0,A61,A71,2.0,A93,A101,4.0,A124,70.0,A141,A153,1.0,A174,1.0,A192,A201,1
A12,24.0,A32,A41,2760.0,A65,A75,4.0,A93,A101,4.0,A124,36.0,A141,A153,1.0,A173,1.0,A192,A201,1
A12,20.0,A33,A43,5965.0,A61,A75,3.0,A93,A101,2.0,A122,36.0,A143,A153,2.0,A174,1.0,A192,A201,1
A11,30.0,A32,A42,3622.0,A64,A75,4.0,A92,A101,4.0,A122,57.0,A143,A151,2.0,A173,1.0,A192,A201,1
A11,4.0,A30,A41,3872.0,A61,A74,3.0,A92,A101,4.0,A123,31.0,A143,A152,2.0,A171,1.0,A191,A201,0
A11,4.0,A30,A41,3872.0,A64,A73,3.0,A92,A101,4.0,A121,31.0,A143,A151,2.0,A171,1.0,A191,A201,1
A12,24.0,A33,A41,2760.0,A65,A75,1.0,A93,A101,4.0,A124,19.0,A141,A152,2.0,A173,1.0,A192,A201,1
