Estatus,Duration,Chistory,Purpose,Ncredit,Saccount,EmploySince,Insrate,Pstatus,Odebtors,ResidenceSince,Property,Age,Insplans,House,NTBcredit,Job,NMpeople,Telephone,Fworker,credits
A14,58.0,A32,A410,14782,A62,A75,3,A92,A101,4,A124,60,A141,A153,2,A174,1,A192,A201,1
A12,60,A31,A410,14782,A62,A72,3,A92,A102,4,A124,60,A141,A153,2,A174,1,A192,A202,1
A12,60,A34,A410,14782,A62,A75,3,A92,A101,4,A124,68.0,A141,A153,2,A174,1,A192,A201,1
A12,60,A33,A410,14782,A62,A75,3,A94,A101,4,A124,60,A141,A153,3.0,A174,1,A192,A201,0
A14,60,A31,A410,14782,A64,A75,3,A92,A101,4,A124,60,A141,A153,2,A174,1,A192,A202,1
A12,25.0,A34,A410,14782,A62,A75,3,A92,A101,4,A124,60,A141,A153,2,A174,1,A192,A201,1
A14,60,A33,A410,14782,A62,A75,3,A92,A103,4,A124,60,A141,A153,2,A174,1,A192,A201,1
A12,60,A31,A410,14782,A62,A75,3,A92,A103,4,A121,60,A141,A153,2,A174,1,A192,A202,1
A12,60,A33,A410,14782,A62,A75,3,A92,A101,4,A121,60,A141,A153,3.0,A174,1,A192,A201,1
A12,60,A34,A410,14782,A62,A75,3,A92,A101,4,A124,58.0,A141,A153,2,A174,1,A192,A201,1
A12,60,A34,A410,14782,A62,A75,3,A92,A101,4,A123,60,A141,A153,2,A174,1,A192,A201,1
A14,60,A31,A410,14782,A62,A75,3,A92,A103,4,A124,60,A141,A152,2,A174,1,A192,A201,1
A12,60,A34,A410,14782,A62,A75,3,A92,A101,4,A124,60,A141,A151,2,A174,1,A192,A201,1
A12,60,A31,A410,14782,A62,A75,2.0,A92,A101,4,A121,60,A141,A152,2,A174,1,A192,A201,1
A12,60,A34,A410,14782,A65,A75,3,A92,A101,4,A122,60,A141,A153,2,A174,1,A192,A201,1
A12,60,A34,A410,14782,A62,A75,3,A92,A101,1.0,A124,60,A141,A153,2,A174,1,A192,A201,1
A12,60,A32,A410,14782,A62,A72,3,A92,A101,4,A124,60,A141,A153,2,A174,2.0,A192,A201,1
A14,60,A31,A410,14782,A65,A75,3,A92,A103,4,A124,60,A141,A153,2,A174,1,A192,A201,1
A12,60,A31,A410,14782,A62,A72,3,A93,A101,2.0,A124,60,A141,A153,2,A174,1,A192,A201,1
A14,60,A31,A410,14782,A65,A75,3,A92,A101,4,A124,60,A141,A153,2,A174,1,A192,A201,0
A12,60,A34,A410,14782,A62,A75,1.0,A92,A101,4,A124,60,A141,A153,2,A174,2.0,A192,A201,1
A12,44.0,A33,A410,14782,A62,A75,3,A94,A101,4,A124,60,A141,A153,2,A174,1,A192,A201,0
A14,60,A32,A410,14782,A62,A75,3,A92,A101,4,A124,60,A141,A153,2,A174,1,A192,A201,1
A14,60,A30,A410,14782,A62,A75,3,A92,A101,4,A124,60,A141,A153,2,A171,1,A192,A201,0
A12,60,A32,A410,14782,A62,A74,3,A92,A101,4,A121,60,A141,A153,2,A174,1,A192,A201,1
