V1,V2,V3,V4,V5,class
1.086563,0.247626,0.53646,-1.048645,0.988874,1
0.756984,0.070129,0.989427,-1.089396,-0.426452,1
0.481472,0.03032,0.434723,0.045348,0.279002,1
0.668947,0.422937,0.993717,-1.038463,-0.411293,1
0.672347,0.480842,1.05652,-0.963921,-0.37698,1
0.315192,-0.055021,0.420427,0.04139,0.278083,1
1.033846,0.369815,-0.341044,-0.022111,-0.136583,1
0.637051,0.315612,1.164481,-1.025249,-0.397536,1
0.559855,0.142474,1.130064,-1.155793,-0.465747,1
0.764879,0.787049,0.820371,-0.877052,-0.349162,1
0.763319,0.765969,0.889441,-0.841156,-0.349909,1
0.251889,0.328337,0.341913,-1.190326,-0.487456,1
0.642547,-0.344821,-0.015305,0.300872,0.42745,1
0.642279,-0.345356,-0.015551,0.300872,0.427846,1
0.605679,0.59423,1.07865,-0.946877,-0.387314,1
0.443987,0.22328,1.125655,-1.153455,-0.467995,1
0.891496,0.000498,1.354003,-1.234416,-0.602752,1
0.585626,0.029885,1.379721,-1.054761,-0.447789,1
0.633417,0.448764,1.265158,-0.961693,-0.401941,1
0.022769,0.051235,0.76417,-1.013372,-0.379871,1
0.081183,0.471477,0.558622,-0.966166,-0.38024,1
0.591286,0.204691,1.434409,-1.021812,-0.429084,1
0.282574,0.403467,0.976709,-1.223495,-0.489407,1
0.110935,0.557946,-0.163156,-0.773106,-0.327599,1
-0.184728,-0.438948,0.851221,-1.034197,0.462539,1
