Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Survived
1,female,30,2,1,AA123456789,100.0,Q1234,S,1
2,male,28,1,0,HH876543210,75.0,C2345,C,1
1,female,26,2,0,BB987654321,85.0,B1234,B,1
3,male,24,0,2,AA987654321,80.0,Q3456,Q,1
1,female,29,1,1,CC765432109,90.0,C1234,C,1
1,female,30,2,1,AA123456789,100.0,Q1234,S,1
2,male,28,1,0,HH876543210,75.0,C2345,C,1
1,female,26,2,0,BB987654321,85.0,B1234,B,1
3,male,24,0,2,AA987654321,80.0,Q3456,Q,1
1,female,29,1,1,CC765432109,90.0,C1234,C,1
2,female,22,0,0,B617,10.5,C123,S,1
1,male,38,2,0,E432,21.0,D456,Q,1
3,female,35,1,1,K457,7.25,F567,S,1
1,male,28,0,2,L890,15.75,A618,Q,1
3,female,40,0,0,O123,30.0,B789,S,1
1,male,70,1,0,PC 17754,34.6542,A,C,1
1,female,69,0,0,PC 17754,34.6542,A,C,1
2,male,71,2,0,PC 17754,34.6542,A,C,1
3,male,68,0,0,PC 17754,34.6542,A,C,1
1,female,71,0,0,PC 17754,34.6542,B,C,1
3,female,22,2,0,B123456,7.25,C123,S,1
1,male,35,0,0,A123456,13.4,B456,Q,1
1,female,18,1,0,C234567,21.8,C111,S,1
2,male,28,1,0,D345678,30.05,D222,Q,1
1,female,32,1,0,E456789,35.0,E333,S,1
