Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Survived
3,male,32.0,0.0,0.0,SOTON/O.Q. 392078,8.05,E10,S,1
1,male,28.0,0.0,0.0,110564,26.55,C52,S,1
1,male,35.0,0.0,0.0,PC 17475,26.29,E24,S,1
1,male,36.0,0.0,0.0,PC 17473,26.29,E25,S,1
1,male,36.0,0.0,0.0,PC 17474,26.39,E25,S,1
1,male,42.0,0.0,0.0,PC 17476,26.29,E24,S,1
1,male,51.0,0.0,0.0,113055,26.55,E17,S,1
1,male,52.0,0.0,0.0,113786,30.5,C104,S,1
1,male,80.0,0.0,0.0,27042,30.0,A23,S,1
2,female,27.0,0.0,0.0,34218,10.5,E101,S,1
2,female,29.0,0.0,0.0,C.A. 29395,10.5,F33,S,1
3,female,27.0,0.0,1.0,392096,12.48,E121,S,1
2,female,32.5,0.0,0.0,27267,13.0,E101,S,1
3,female,24.0,0.0,2.0,PP 9549,16.7,G6,S,1
2,female,34.0,0.0,0.0,C.A. 34260,10.5,F33,S,1
2,female,36.0,0.0,0.0,28551,13.0,D,S,1
2,male,36.5,0.0,2.0,230080,26.0,F2,S,1
1,male,26.0,0.0,0.0,111369,30.0,C148,C,1
1,female,19.0,0.0,0.0,112053,30.0,B42,S,1
1,male,32.0,0.0,0.0,13214,30.5,B50,C,1
1,female,48.0,0.0,0.0,17466,25.93,D17,S,1
1,female,49.0,0.0,0.0,17465,25.93,D17,S,1
1,female,58.0,0.0,0.0,113783,26.55,C103,S,1
1,male,56.0,0.0,0.0,13213,35.5,A26,C,1
1,male,27.0,1.0,0.0,113806,53.1,E8,S,1
