Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Survived
3,male,25.0,0,0,17466,7.65,C103,S,1
3,female,25.0,0,0,PP 9549,390.84,F G73,S,1
3,male,25.0,0,0,112053,7.65,E44,S,1
3,male,25.0,0,0,27267,7.65,D11,S,1
3,female,25.0,0,0,PC 17757,7.65,F G73,S,1
3,male,56.9,0,0,36928,7.65,B51 B53 B55,S,1
3,male,78.1,0,0,PC 17569,7.65,B58 B60,S,1
2,female,25.0,0,0,PC 17760,7.65,F G73,S,1
3,female,25.0,0,0,34218,7.65,D17,S,1
2,male,25.0,0,0,17465,7.65,E10,S,1
1,male,25.0,0,0,11769,7.65,B77,S,1
3,male,25.0,0,0,WE/P 5735,7.65,D37,S,1
3,female,25.0,0,0,PC 17482,361.38,F G73,S,1
3,male,25.0,0,0,34218,7.65,D11,S,1
3,male,25.0,0,3.0,13568,7.65,B50,S,1
3,male,25.0,2.0,0,PC 17760,7.65,E49,S,1
3,female,25.0,0,3.0,13567,7.65,F G73,S,1
1,male,25.0,0,0,WE/P 5735,7.65,A23,S,1
3,male,79.8,0,0,36973,7.65,C93,S,1
3,male,25.0,0,0,230080,7.65,E67,S,1
3,male,25.0,0,0.0,PC 17475,7.65,B3,S,1
3,male,25.0,0,0,PC 17482,7.65,C62 C64,S,1
3,male,25.0,0,0,PC 17477,48.28,B3,S,1
3,female,25.0,0,0,13567,7.65,F G73,Q,1
3,male,25.0,1.0,0,13567,7.65,F2,S,1
