ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
6.5,2.5,180.0,0.0,0.0,1000.0,30.0,0.0,0.0,1
7.8,3.2,150.0,20.0,10.0,900.0,25.0,10.0,5.0,1
6.0,2.8,170.0,15.0,5.0,950.0,28.0,5.0,3.0,1
7.2,3.6,160.0,10.0,8.0,850.0,22.0,8.0,7.0,1
6.3,3.0,190.0,12.0,6.0,920.0,32.0,12.0,4.0,1
7.0,3.0,20.0,0.0,0.0,150.0,10.0,2.0,5.0,1
6.5,4.0,18.0,0.5,0.5,130.0,8.0,1.5,7.5,1
6.0,3.5,16.5,0.30000000000000004,0.2,140.0,9.5,1.2,8.0,1
5.5,3.2,17.2,0.25,0.25,120.0,9.0,1.1,8.5,1
6.2,3.3,17.3,0.35000000000000003,0.35000000000000003,145.0,8.5,1.3,9.0,1
7.0,2.5,300.0,0.0,0.0,80.0,10.0,0.0,10.0,1
6.5,3.0,250.0,50.0,30.0,90.0,20.0,10.0,5.0,1
8.0,2.8,200.0,100.0,40.0,75.0,15.0,5.0,8.0,1
5.5,2.3,180.0,70.0,45.0,85.0,12.0,8.0,3.0,1
9.5,3.2,160.0,-100.0,-50.0,-75.0,-20.0,-15.0,-5.0,1
7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,1
6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,1
5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,1
4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,1
3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,1
