ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
7.4969912,246.863586,22631.6582,3.4408801,297.13245,357.49847,16.1412868,79.705528,3.8379259,1
6.9916854,152.976212,20389.5938,2.6483898,331.25293,460.14618,15.4853783,69.670036,3.7248235,1
6.7675238,203.751053,21162.7266,5.2327499,251.06238,334.90536,13.214324,79.863007,3.3002534,1
8.5814285,186.601624,20590.7129,3.9241829,366.1319,384.30569,9.9993982,66.69397,3.3884482,1
6.3929276,159.16893,21217.1582,5.2988772,317.25677,305.24359,16.8654537,62.154381,3.2713389,1
6.017261,206.014404,1198.9437,1.3908709,129.0,210.31918,14.2217569,86.308235,3.4662645,1
4.9456949,229.92836,16953.8984,4.4337249,340.64566,346.64227,14.2546406,84.551079,3.6332138,1
6.8483295,249.671005,1198.9437,5.0360103,378.99869,411.11447,17.7696419,8.577013,3.7322021,1
4.7257857,170.440918,19002.3145,4.4337249,335.48221,346.64227,13.276638,84.551079,3.2755811,1
6.4508057,198.493149,15597.6406,1.3908709,335.48221,210.31918,13.7240868,52.86039,3.2755811,1
6.6036406,206.919739,14598.0254,6.4521408,316.25351,582.1106,12.5209322,68.872498,3.4037983,1
7.8306074,213.249252,18821.3887,6.4751129,316.57242,405.27875,16.8723946,55.905769,3.551568,1
8.5496922,236.861511,17828.2949,4.7522674,341.03635,423.11008,15.3132429,80.931305,3.0390189,1
6.775631,154.372543,15525.3936,1.3908709,394.00119,210.31918,17.1185436,56.124023,3.0817358,1
7.7010326,121.575142,16978.9277,6.8124156,354.25024,368.22458,12.997263,69.260208,3.3954825,1
7.078361,198.412445,16648.5996,6.9310961,348.54797,472.276,17.2496166,59.630894,3.2634647,1
5.6676507,208.406677,16953.8984,1.3908709,129.0,210.31918,15.2183781,83.702232,3.6332138,1
6.9853039,219.586441,16470.9531,6.4455128,339.05399,492.90302,15.8044491,70.600685,3.081799,1
6.8483295,73.492233,15908.6416,6.2413487,304.51022,210.31918,16.2173023,28.878601,3.7322021,1
6.8483295,195.451477,15908.6416,6.2413487,319.26471,404.20486,18.9373379,75.392792,3.7322021,1
7.3699884,236.476715,18998.3477,7.4044347,359.93057,357.06619,18.0203304,58.271255,3.4638524,1
4.9456949,170.440918,23000.7227,4.4337249,340.64566,346.64227,13.276638,84.551079,3.7825174,1
6.3979049,249.969238,22057.0527,4.8927169,375.49448,334.26987,14.150363,97.030457,3.9585435,1
6.7025466,207.321091,17246.9199,7.708117,304.51022,329.26599,16.2173023,28.878601,3.4429832,1
4.7257857,249.671005,19002.3145,5.0360103,335.48221,257.00772,13.7240868,78.817436,3.2755811,1
